ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
9552;"Druvas ELVI pakomāts";0;LV;"Saldus novads";"Saldus pagasts";Druva;;"Vienības iela";;4;;22.445756;56.694080;;;;;;;;;;;2024-06-25T16:26:44.800+03:00
9163;"Dundagas Citro pakomāts";0;LV;"Talsu novads";"Dundagas pagasts";Dundaga;;"Talsu iela";;1;;22.351579;57.509807;;;;;;;;;"Blakus T/C centrālajai ieejai";;2023-09-29T09:17:58.277+03:00
55572;"Dusetų SVAITA paštomatas";0;LT;"Utenos apskr.";"Zarasų r. sav.";"Dusetų m.";;"K. Būgos g.";;12;;25.839465;55.746157;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, už kampo";2023-12-29T09:15:04.590+02:00
50600;"Eedeni postkontor";1;EE;"Tartu maakond";"Tartu linn";"Tartu linn";;"Kalda tee";;1c;;26.748826;58.373434;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2024-08-13T16:05:24.827+03:00
88896;"Eišiškių NORFA paštomatas";0;LT;"Vilniaus apskr.";"Šalčininkų r. sav.";"Eišiškių m.";;"Vilniaus g.";;19;;24.997107;54.171449;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2024-02-23T11:46:08.193+02:00
9156;"Elejas Astarte pakomāts";0;LV;"Jelgavas novads";"Elejas pagasts";Eleja;;"Lietuvas iela";;28;;23.682666;56.416530;;;;;;;;;"Blakus T/C centrālajai ieejai";;2023-09-29T15:17:07.030+03:00
88853;"Elektrėnų MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Elektrėnų sav.";"Elektrėnų m.";;"Rungos g.";;4;;24.657607;54.785381;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2023-12-28T09:39:31.277+02:00
55500;"Elektrėnų NORFA paštomatas";0;LT;"Vilniaus apskr.";"Elektrėnų sav.";"Elektrėnų m.";;"Sabališkių g.";;1J;;24.680564;54.788298;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje įėjimo į parduotuvę pusėje, už kampo";2024-09-09T13:32:23.663+03:00
96179;"Elva Arbimäe Coop Konsumi pakiautomaat";0;EE;"Tartu maakond";"Elva vald";"Elva linn";;"Kirde tn";;3;;26.414144;58.234123;;;;;;;;;;;2022-08-26T12:47:21.130+03:00
96047;"Elva Turuplatsi Coop Konsumi pakiautomaat";0;EE;"Tartu maakond";"Elva vald";"Elva linn";;"Kesk tn";;1;;26.408822;58.221047;;;;;;;;;;;2023-10-30T09:35:43.803+02:00
61599;"Elva postipunkt";1;EE;"Tartu maakond";"Elva vald";"Elva linn";;"Puiestee tn";;1;;26.406515;58.221024;"E 10:00-17:00 T 10:00-16:00 K 13:00-18:00 N,R,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2024-08-30T10:07:17.730+03:00
9204;"Engures Citro pakomāts";0;LV;"Tukuma novads";"Engures pagasts";Engure;;"Jūras iela";;81;;23.228579;57.161028;;;;;;;;;"Pa kreisi no ieejas";;2024-06-21T13:33:50.890+03:00
9564;"Ezeres ELVI pakomāts";0;LV;"Saldus novads";"Ezeres pagasts";Ezere;;"Centra laukums";;2;;22.361677;56.409039;;;;;;;;;;;2023-09-29T09:18:11.057+03:00
